title,artist,genre,mood,language,energy,tempo
오래된 노래,김동률,,,ko,,
어른,Sondia,,,ko,,
Tale(동화),MeloMance(멜로망스),,,ko,,
하염없이 (feat. 정동원),타디스 프로젝트 &,,,ko,,
함께 Together,노을,,,ko,,
목소리,노을,,,ko,,
사랑은 늘 도망가,임영웅,,,ko,,
LoseLove,이덕구,,,ko,,
Heaven,김현성,,,ko,,
One Love,M.C The Max,,,ko,,
입술의 말,엠씨더맥스,,,ko,,
어김없이 (20th edition),엠씨더맥스 (M.C the MAX),,,ko,,
내가 많이 사랑해요,이승철,,,ko,,
MY LOVE,이승철,,,ko,,
서쪽 하늘,이승철,,,ko,,
희재,성시경,,,ko,,
My love has faded away(사랑이 식었다고 말해도 돼),Monday Kiz(먼데이키즈),,,ko,,
취중고백,김민석,,,ko,,
Gift(선물),MeloMance(멜로망스),,,ko,,
신촌을 못가,포스트맨,,,ko,,
